aX,aY,aZ,gX,gY,gZ
1.202,0.942,-0.819,-5.554,-13.550,49.438
1.200,0.980,-0.859,-5.737,-17.822,40.039
1.164,0.916,-0.866,1.038,-26.672,4.700
0.968,0.721,-0.931,7.935,-23.071,-18.494
0.837,0.632,-1.033,15.503,-16.907,-41.809
0.719,0.560,-1.176,25.513,-14.587,-71.655
0.614,0.472,-1.472,24.658,-21.973,-69.702
0.619,0.436,-1.552,7.874,-51.819,-35.828
0.616,0.402,-1.426,-2.930,-72.205,-13.733
0.618,0.406,-1.293,-8.789,-98.022,4.211
0.628,0.422,-1.164,-1.465,-157.471,26.184
0.641,0.437,-0.937,10.376,-182.434,38.208
0.678,0.405,-0.843,34.729,-209.106,44.617
0.687,0.315,-0.673,35.645,-210.693,31.128
0.579,0.289,-0.554,22.583,-211.853,-8.057
0.124,0.238,-0.121,18.616,-217.834,-24.353
-0.148,0.184,0.172,22.278,-223.999,-41.504
-0.381,0.110,0.489,60.852,-216.919,-89.172
-0.593,-0.057,1.014,88.135,-203.918,-110.718
-0.670,-0.093,1.143,88.196,-200.745,-122.437
-0.873,0.144,1.463,43.945,-222.778,-98.267
-0.841,0.442,1.774,-70.557,-288.025,9.888
-0.051,0.773,2.349,-95.459,-306.946,50.110
0.712,0.642,2.691,-92.285,-305.786,56.274
1.712,0.350,3.043,-39.490,-215.088,4.211
2.717,-0.313,2.495,-17.517,-125.244,-23.560
1.893,-0.340,1.650,-7.446,69.580,-68.970
-0.075,0.040,0.472,-0.183,114.563,-72.693
-0.292,0.160,0.257,18.005,66.040,-23.132
0.021,0.157,0.311,10.193,36.255,0.366
0.155,0.135,0.506,1.892,27.222,1.770
0.248,0.151,0.686,32.532,34.241,-23.376
0.391,0.268,0.816,58.472,34.851,-25.635
0.429,0.315,0.819,70.862,29.968,-20.630
0.534,0.291,0.929,59.265,28.992,-19.836
0.621,0.217,1.040,47.913,29.541,-16.785
0.710,0.123,1.174,53.284,44.434,-5.432
0.740,0.057,1.386,66.589,64.880,-2.319
0.736,0.123,1.387,85.571,100.037,25.391
0.842,0.305,1.339,79.163,108.154,60.120
0.821,0.280,1.436,57.739,119.568,99.670
0.736,0.181,1.536,-4.456,161.743,131.348
0.354,0.088,1.585,-19.592,185.974,135.376
0.183,0.183,1.465,-11.658,221.313,123.169
0.234,0.495,0.892,9.827,220.520,111.450
0.355,0.601,0.520,26.794,215.149,91.125
0.470,0.590,0.158,2.808,205.627,31.982
0.552,0.179,-0.175,-37.231,204.956,7.935
0.466,-0.055,-0.073,-104.126,221.436,0.610
0.334,-0.071,0.016,-90.942,216.248,23.071
0.370,0.170,-0.108,-22.888,170.227,94.604
0.549,0.778,-0.350,-9.033,141.663,119.690
0.617,0.964,-0.446,-14.221,120.178,119.080
0.641,1.009,-0.495,-67.871,116.882,38.391
0.552,0.790,-0.534,-96.130,120.605,-6.042
0.512,0.634,-0.617,-111.938,111.572,-39.917
0.565,0.471,-0.885,-97.717,97.229,-38.940
0.609,0.496,-1.039,-73.547,72.632,-36.865
0.613,0.554,-1.155,-36.194,16.541,-48.706
0.580,0.625,-1.201,-25.391,-5.371,-62.744
0.582,0.604,-1.207,-1.160,-31.311,-96.985
0.723,0.457,-1.192,4.333,-33.203,-115.540
0.759,0.328,-1.183,-3.540,-22.583,-144.043
0.836,0.054,-1.211,-5.615,-12.939,-146.118
0.878,0.002,-1.179,-2.869,-5.981,-126.892
0.948,0.113,-0.959,2.808,-16.785,-41.504
1.015,0.198,-0.791,6.531,-28.503,-1.221
1.096,0.279,-0.611,24.414,-43.640,31.311
1.207,0.438,-0.289,32.959,-42.542,31.433
1.232,0.501,-0.170,37.048,-27.649,29.175
1.254,0.576,-0.010,35.461,-19.470,27.466
1.248,0.588,0.031,32.715,-12.390,24.536
1.218,0.578,0.048,18.738,1.831,14.343
1.098,0.498,0.017,8.179,9.705,8.118
1.021,0.438,-0.026,-7.996,21.851,-5.188
0.876,0.308,-0.131,-9.399,24.292,-11.475
0.819,0.257,-0.177,-4.456,22.522,-18.311
0.753,0.190,-0.233,-1.282,18.433,-17.822
0.743,0.181,-0.247,1.953,13.184,-15.259
0.745,0.191,-0.259,6.958,1.587,-5.310
0.778,0.228,-0.259,6.348,-2.991,1.099
0.801,0.245,-0.247,5.493,-7.385,9.644
0.836,0.300,-0.235,8.545,-8.301,9.277
0.851,0.340,-0.232,12.146,-9.766,7.324
0.892,0.405,-0.209,14.526,-14.221,5.615
0.916,0.421,-0.191,13.367,-15.869,4.822
0.940,0.420,-0.172,8.667,-16.113,-0.061
0.990,0.381,-0.135,6.165,-14.526,-1.953
1.005,0.364,-0.121,1.587,-8.789,-1.343
1.013,0.345,-0.113,-0.549,-5.127,0.000
0.999,0.343,-0.127,-1.648,-1.526,0.366
0.978,0.345,-0.147,-0.366,3.174,-1.099
0.944,0.345,-0.177,-0.183,4.028,-1.099
0.935,0.336,-0.180,-0.244,4.578,-2.563
0.916,0.314,-0.187,0.610,4.578,-4.578
0.906,0.305,-0.195,0.427,4.211,-5.066
0.885,0.307,-0.208,-0.793,3.723,-2.380
0.878,0.316,-0.208,-1.709,2.930,0.793
0.875,0.324,-0.207,-1.343,0.671,4.272
0.880,0.320,-0.198,-0.427,-0.488,3.967
0.888,0.311,-0.193,2.563,-1.892,1.282
0.892,0.305,-0.188,4.150,-2.075,-0.061
0.887,0.313,-0.189,4.578,-2.563,0.732
0.880,0.333,-0.189,3.235,-2.930,2.441
0.884,0.337,-0.185,2.380,-3.723,3.662
0.890,0.341,-0.179,4.150,-5.737,3.052
0.901,0.343,-0.167,5.188,-6.409,2.014
0.913,0.339,-0.156,5.676,-7.202,2.075
0.937,0.346,-0.137,5.310,-7.019,3.479
0.941,0.354,-0.133,4.272,-6.226,5.005
0.940,0.360,-0.131,3.113,-4.028,5.127
0.932,0.363,-0.140,3.418,-2.808,3.723
0.927,0.361,-0.147,2.563,-0.671,1.587
0.912,0.355,-0.166,2.014,0.122,1.038
0.903,0.352,-0.175,2.197,0.671,0.305
0.889,0.350,-0.186,2.014,0.244,0.793
0.891,0.349,-0.183,1.892,-0.732,1.526
0.898,0.349,-0.175,3.235,-2.686,2.197

1.204,0.853,-0.922,17.029,-41.931,89.600
1.224,0.968,-1.010,9.521,-62.561,125.549
1.174,1.094,-1.152,9.583,-66.895,125.977
1.128,1.099,-1.220,23.437,-60.364,80.627
1.020,1.062,-1.370,34.851,-53.650,46.021
0.983,1.021,-1.397,44.983,-49.988,14.709
0.950,0.961,-1.379,47.729,-59.753,-29.236
0.916,0.800,-1.264,37.170,-71.106,-46.875
0.877,0.713,-1.187,7.935,-101.562,-57.556
0.757,0.570,-1.010,-7.996,-119.873,-47.546
0.660,0.531,-0.911,-49.683,-161.072,-18.188
0.267,0.515,-0.551,-75.500,-179.443,-7.568
0.017,0.508,-0.287,-100.403,-196.716,-4.333
-0.229,0.474,0.010,-129.272,-220.886,-27.954
-0.613,0.338,0.703,-126.526,-219.727,-50.598
-0.748,0.248,1.021,-93.933,-199.219,-101.562
-0.900,-0.029,1.478,-80.688,-189.331,-114.929
-0.926,-0.117,1.705,-90.027,-174.744,-104.614
-0.736,0.014,2.193,-98.267,-167.969,-87.463
-0.447,0.125,2.282,-94.360,-165.039,-66.833
0.728,0.186,2.299,-74.951,-183.960,-13.123
1.462,0.230,2.391,-81.299,-187.500,35.156
2.084,0.308,2.393,-124.390,-124.634,103.027
2.196,0.535,1.711,-127.441,-73.792,87.585
1.636,0.607,1.177,-18.188,36.133,-16.235
0.338,0.644,0.495,31.860,58.533,-79.163
0.000,0.579,0.354,46.753,50.293,-114.258
-0.093,0.432,0.257,11.658,12.451,-68.176
0.103,0.159,0.219,-9.766,6.348,-19.958
0.267,0.113,0.322,-12.878,4.395,37.659
0.566,0.232,0.640,3.357,1.282,39.001
0.671,0.349,0.744,21.179,0.427,29.236
0.753,0.466,0.806,39.185,13.855,2.197
0.884,0.667,0.869,41.870,27.222,-5.859
0.907,0.717,0.843,46.326,46.936,-10.803
0.936,0.721,0.820,49.011,50.720,-9.949
0.950,0.709,0.865,48.157,56.335,-10.315
0.967,0.731,0.914,60.364,97.351,1.099
0.863,0.711,1.042,66.284,115.662,7.385
0.836,0.685,1.036,68.665,121.765,2.014
0.864,0.545,0.813,72.571,110.779,4.211
0.861,0.516,0.705,66.101,93.933,18.188
0.826,0.551,0.694,57.312,101.624,24.536
0.780,0.636,0.914,47.607,117.004,22.156
0.800,0.607,0.999,39.673,155.762,-21.118
0.737,0.344,0.872,38.147,167.541,-51.880
0.700,0.163,0.789,36.316,169.434,-87.402
0.728,-0.024,0.717,48.889,164.062,-82.458
0.744,-0.165,0.619,62.744,162.842,-63.782
0.654,-0.125,0.633,73.730,177.734,-14.221
0.439,0.038,0.625,83.984,181.213,0.061
0.384,0.119,0.530,108.459,174.499,2.136
0.284,0.133,0.310,105.591,164.429,-3.723
0.258,0.081,0.182,95.459,149.475,-7.385
0.260,0.026,0.025,71.716,117.981,15.625
0.312,0.025,-0.246,53.467,105.591,43.396
0.359,0.083,-0.331,18.982,83.679,98.511
0.525,0.303,-0.411,10.620,72.327,113.281
0.636,0.411,-0.454,7.874,58.289,119.385
0.728,0.525,-0.508,10.681,39.673,98.511
0.875,0.811,-0.710,9.766,41.931,79.590
0.907,0.934,-0.865,0.000,32.532,39.734
0.789,1.122,-1.143,-0.183,30.273,7.263
0.688,1.205,-1.296,14.099,35.461,-39.185
0.533,1.260,-1.497,71.228,44.617,-172.974
0.206,1.243,-1.906,75.378,48.340,-227.356
0.118,1.086,-1.926,-28.381,38.025,-216.797
0.370,0.371,-1.470,-88.318,9.460,-166.382
0.660,0.018,-1.142,-70.679,-67.078,-68.665
1.273,-0.246,-0.426,-17.700,-101.624,-32.288
1.522,-0.188,-0.052,27.405,-122.253,2.625
1.798,0.081,0.453,63.599,-106.445,59.204
1.796,0.240,0.498,64.270,-73.914,65.857
1.700,0.364,0.438,48.828,0.427,33.508
1.348,0.441,0.169,38.269,25.818,13.184
1.149,0.444,0.024,19.775,46.936,-5.981
0.848,0.453,-0.169,10.864,46.448,-8.545
0.755,0.433,-0.215,2.502,41.870,-11.414
0.698,0.385,-0.237,-11.047,28.625,-18.250
0.680,0.242,-0.225,-13.977,19.836,-17.395
0.714,0.183,-0.197,-9.705,0.488,-6.897
0.808,0.137,-0.136,-5.005,-6.409,-2.075
0.846,0.137,-0.114,0.061,-10.925,1.038
0.884,0.150,-0.096,9.766,-15.991,6.287
0.949,0.219,-0.064,12.207,-15.869,8.545
0.969,0.259,-0.048,11.414,-12.390,10.010
0.991,0.327,-0.047,9.888,-10.559,10.803
0.991,0.355,-0.055,5.493,-7.385,11.658
0.990,0.380,-0.065,4.089,-6.348,9.583
0.998,0.370,-0.064,3.296,-5.554,5.920
1.006,0.355,-0.065,1.282,-2.441,-2.136
