"aX","aY","aZ","gX","gY","gZ"
0.975,-0.094,0.118,-3.418,3.052,0.061

0.962,1.831,-0.471,-41.138,90.088,137.939
1.025,1.543,-0.700,13.245,56.702,30.579
0.257,0.708,-1.126,20.996,14.343,-21.545
-0.218,0.353,-1.196,-13.977,-50.293,-50.415
-0.463,-0.027,-0.931,-42.969,-49.622,-30.640
-0.352,0.018,-0.680,-64.392,-34.241,-6.897
-0.230,0.168,-0.490,-43.884,-3.967,28.259
-0.014,0.459,-0.493,-9.521,7.690,39.551
0.069,0.551,-0.631,38.757,22.095,52.002
0.135,0.651,-0.895,42.358,22.461,51.392
0.138,0.672,-0.962,27.222,8.850,42.603
0.161,0.658,-1.005,18.372,2.197,34.546
0.159,0.634,-0.984,9.521,-2.014,23.193
0.136,0.618,-0.940,-5.798,-8.118,1.404
0.084,0.591,-0.846,-7.935,-10.742,-5.676
0.063,0.566,-0.828,4.883,-20.569,-14.526
0.048,0.527,-0.809,15.991,-28.137,-15.259
0.068,0.540,-0.791,34.729,-38.269,-14.648
0.126,0.595,-0.781,38.513,-41.260,-14.221
0.159,0.638,-0.775,36.804,-42.114,-13.672
0.183,0.676,-0.768,30.518,-40.039,-17.761
0.207,0.713,-0.770,30.212,-41.504,-22.949
0.221,0.736,-0.764,34.241,-48.218,-38.696
0.239,0.792,-0.733,44.250,-55.786,-49.011
0.243,0.812,-0.721,82.031,-86.731,-70.679
0.206,0.811,-0.716,104.065,-104.980,-80.933
0.157,0.796,-0.725,123.230,-119.690,-90.332
0.107,0.778,-0.735,140.991,-131.775,-104.309
0.089,0.757,-0.710,138.794,-131.592,-108.765
0.126,0.799,-0.684,125.122,-130.737,-120.911
0.284,0.881,-0.602,125.610,-138.184,-132.141
0.344,0.918,-0.538,164.246,-181.091,-161.499
0.369,0.939,-0.394,198.669,-206.482,-171.692
0.358,0.917,-0.327,230.957,-223.145,-174.683
0.401,0.892,-0.238,257.812,-210.510,-161.194
0.464,0.906,-0.214,250.671,-185.242,-151.672
0.562,0.903,-0.190,221.802,-141.907,-148.865
0.718,0.853,-0.109,212.219,-134.949,-156.006
0.729,0.812,-0.035,207.947,-136.597,-165.649
0.683,0.758,0.173,211.121,-132.874,-162.842
0.657,0.715,0.236,215.210,-121.704,-156.921
0.639,0.659,0.232,211.853,-83.252,-136.536
0.744,0.512,0.117,199.097,-57.556,-122.437
0.850,0.460,0.086,156.067,-8.850,-106.018
0.977,0.348,0.097,132.935,5.249,-106.384
0.961,0.289,0.137,91.187,19.958,-113.281
0.846,0.186,0.170,73.486,31.555,-111.755
0.821,0.177,0.159,59.021,48.096,-104.370
0.828,0.198,0.148,48.950,71.472,-84.412
0.860,0.280,0.143,57.678,68.848,-76.843
0.872,0.281,0.124,97.412,45.593,-66.406
0.899,0.153,0.037,116.455,31.921,-62.561
0.908,0.092,-0.013,126.587,20.813,-59.448
0.902,0.067,-0.050,114.685,10.254,-57.678
0.901,0.059,-0.045,97.961,9.277,-56.335
0.881,0.066,-0.021,66.223,13.794,-57.739
0.798,0.014,-0.034,59.753,15.564,-60.303
0.766,-0.042,-0.063,61.462,3.540,-58.167
0.760,-0.110,-0.023,63.843,-8.179,-51.880
0.785,-0.167,0.013,67.078,-17.822,-46.448
0.845,-0.182,0.052,61.401,-14.648,-34.790
0.884,-0.121,0.070,51.453,-5.920,-29.419
0.911,-0.062,0.100,34.058,0.916,-31.006
0.919,-0.019,0.177,30.701,-0.549,-33.691
0.929,-0.027,0.190,29.175,5.249,-31.494
0.989,-0.041,0.149,26.123,12.024,-30.029
1.024,-0.038,0.120,19.653,18.433,-29.297
1.064,-0.005,0.135,4.883,22.583,-30.518
1.060,-0.040,0.123,3.296,21.667,-37.292
1.018,-0.127,0.052,-9.888,26.733,-46.204
1.038,-0.218,-0.041,-25.452,30.273,-43.701
1.088,-0.209,-0.056,-57.312,44.922,-38.391
1.180,-0.171,-0.093,-66.345,51.208,-38.208
1.194,-0.176,-0.154,-67.383,49.988,-40.649
1.169,-0.213,-0.233,-56.519,19.958,-53.284
1.051,-0.349,-0.306,-55.664,-0.305,-57.861
0.991,-0.390,-0.257,-65.552,-28.259,-56.274
0.897,-0.439,-0.115,-63.354,-37.842,-52.185
0.858,-0.477,-0.084,-44.678,-51.270,-38.147
0.844,-0.503,-0.041,-38.635,-50.659,-27.161
0.865,-0.472,-0.007,-35.828,-36.255,-3.784
0.929,-0.380,0.076,-35.645,-25.391,6.836
0.979,-0.315,0.125,-34.241,-13.672,17.334
1.049,-0.230,0.178,-23.376,6.104,35.767
1.184,-0.047,0.241,-14.648,12.024,40.100
1.235,0.022,0.255,3.784,16.418,39.368
1.273,0.081,0.228,12.268,14.160,33.691
1.261,0.072,0.190,21.790,7.690,14.771
1.183,0.008,0.112,21.179,5.554,4.333
1.130,-0.030,0.090,16.663,4.272,-4.761
1.076,-0.061,0.089,-0.671,6.714,-17.456
0.983,-0.114,0.115,-6.958,8.972,-20.630
0.942,-0.139,0.123,-6.775,5.554,-20.813
0.886,-0.173,0.147,-2.869,1.160,-19.470
0.875,-0.180,0.169,1.526,-2.747,-17.456
0.880,-0.176,0.191,7.568,-3.967,-10.254
0.893,-0.172,0.182,8.179,-1.160,-5.432
0.907,-0.166,0.165,5.920,5.188,2.563
0.932,-0.156,0.136,4.761,6.836,5.005
0.945,-0.149,0.127,4.944,6.531,8.057
0.977,-0.122,0.113,5.676,5.554,9.216
0.994,-0.102,0.113,5.920,4.517,10.010
1.009,-0.084,0.118,5.005,3.052,8.972
1.021,-0.074,0.125,3.784,3.296,7.324
1.022,-0.073,0.127,-0.610,5.554,3.784
1.020,-0.070,0.128,-2.319,5.981,1.953
1.014,-0.071,0.130,-3.540,5.310,0.000
1.002,-0.077,0.137,-5.188,2.991,-4.150
0.978,-0.093,0.149,-5.371,2.808,-5.249
0.965,-0.103,0.147,-3.845,3.784,-4.028
0.948,-0.115,0.134,-2.808,4.395,-2.014
0.952,-0.112,0.134,-0.244,3.906,2.747
0.959,-0.107,0.134,1.831,2.319,4.211
0.961,-0.107,0.130,3.723,0.427,5.127
0.962,-0.106,0.125,3.967,-2.441,4.944
0.963,-0.099,0.123,2.258,-3.052,4.272
0.966,-0.096,0.128,-0.061,-2.869,4.089
0.971,-0.090,0.135,-0.427,-2.075,4.822
0.976,-0.087,0.135,-1.770,-0.427,5.920

-1.364,0.915,-0.983,-101.685,28.198,206.177
-1.336,1.141,-0.876,-81.604,10.559,278.992
-0.590,2.229,-0.426,-53.528,18.738,320.801
0.265,2.676,-0.255,25.757,41.077,314.026
1.541,2.360,-0.176,40.833,25.513,212.891
1.220,1.783,-0.336,28.625,-2.136,69.702
0.407,1.193,-0.593,-32.471,-36.011,-137.939
-0.746,0.297,-0.958,-62.134,-30.640,-144.653
-0.735,0.044,-0.891,-80.139,-18.860,-75.439
-0.443,-0.110,-0.517,-54.504,-30.518,-54.626
-0.382,-0.062,-0.418,17.822,-38.757,-17.212
-0.177,0.210,-0.472,33.997,-20.508,12.146
-0.047,0.413,-0.543,29.236,19.104,46.692
0.074,0.712,-0.762,29.907,22.888,41.931
0.083,0.745,-0.878,33.752,16.968,27.588
