"aX","aY","aZ","gX","gY","gZ"
0.284,-0.576,-0.985,-43.457,11.047,-14.099

0.471,-1.187,-1.099,56.152,-32.104,59.753
0.502,-1.232,-1.145,102.234,-34.912,84.961
0.445,-1.232,-1.219,110.840,-35.828,84.595
0.417,-1.196,-1.274,142.029,-42.969,97.290
0.389,-1.122,-1.321,168.152,-49.011,108.459
0.391,-1.085,-1.328,193.970,-53.345,116.516
0.397,-1.053,-1.338,244.324,-51.697,120.300
0.396,-0.989,-1.324,269.592,-51.453,118.408
0.395,-0.950,-1.303,305.054,-60.852,117.493
0.360,-0.845,-1.239,316.162,-68.359,123.169
0.327,-0.766,-1.188,324.951,-88.806,133.972
0.279,-0.598,-1.062,321.899,-100.037,132.507
0.241,-0.519,-0.998,316.528,-109.863,126.648
0.215,-0.445,-0.937,307.007,-129.028,104.309
0.207,-0.324,-0.819,302.368,-138.916,88.867
0.220,-0.276,-0.751,287.292,-158.081,60.974
0.251,-0.215,-0.602,278.503,-166.992,50.903
0.273,-0.188,-0.534,263.794,-186.218,41.077
0.329,-0.087,-0.441,255.371,-195.557,38.086
0.358,-0.047,-0.419,248.901,-201.660,33.569
0.395,-0.021,-0.395,251.343,-196.960,27.161
0.456,0.021,-0.315,252.991,-188.904,27.161
0.466,0.042,-0.268,245.117,-176.025,27.222
0.482,0.099,-0.215,238.647,-173.523,26.367
0.502,0.126,-0.198,231.995,-173.950,23.621
0.494,0.166,-0.125,234.558,-176.086,23.926
0.485,0.208,-0.077,240.051,-177.307,23.499
0.482,0.248,-0.029,248.718,-170.654,8.911
0.486,0.264,0.051,250.244,-164.062,-0.916
0.494,0.244,0.077,250.183,-148.926,-12.939
0.522,0.227,0.109,248.291,-138.855,-12.878
0.517,0.232,0.123,245.972,-128.784,-10.193
0.491,0.227,0.140,244.446,-115.295,-9.094
0.429,0.175,0.210,242.065,-115.295,-14.099
0.432,0.136,0.270,230.347,-136.414,-29.236
0.501,0.083,0.418,221.802,-150.635,-33.325
0.514,0.064,0.489,202.087,-166.748,-31.799
0.474,0.026,0.578,195.190,-165.283,-27.527
0.441,0.009,0.596,193.970,-158.508,-22.217
0.412,-0.015,0.606,206.482,-140.869,-11.658
0.359,-0.069,0.630,215.515,-135.681,-8.606
0.345,-0.090,0.657,226.318,-134.155,-10.620
0.352,-0.114,0.686,228.027,-132.446,-13.977
0.341,-0.139,0.682,232.361,-125.488,-24.475
0.281,-0.214,0.678,238.281,-123.596,-29.907
0.260,-0.257,0.696,245.911,-124.573,-35.095
0.241,-0.308,0.733,256.531,-130.371,-43.945
0.151,-0.493,0.925,257.019,-135.071,-46.753
